PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
Brett Lawrie,OAK,270,24,77,16,0,7,35,3,1,13,76,.285,.324,.422,.746
Alex Rodriguez,NYY,249,43,71,12,1,15,44,1,0,39,62,.285,.388,.522,.910
Hanley Ramirez,BOS,251,41,71,5,0,15,38,3,3,16,37,.283,.330,.482,.812
Alcides Escobar,KC,263,37,74,13,2,2,28,5,2,10,31,.281,.317,.369,.686
Evan Longoria,TB,265,34,74,15,0,8,34,1,1,32,62,.279,.359,.426,.786
Pablo Sandoval,BOS,244,25,67,11,1,7,26,0,0,12,36,.275,.321,.414,.735
Alex Gordon,KC,225,28,61,12,0,9,32,1,4,34,54,.271,.388,.444,.833
Salvador Perez,KC,255,24,69,12,0,12,33,1,0,4,35,.271,.281,.459,.740
Avisail Garcia,CHW,244,30,66,9,0,7,29,3,5,13,65,.270,.319,.393,.713
Brian McCann,NYY,222,30,60,9,1,12,49,0,0,19,45,.270,.337,.482,.819
Anthony Gose,DET,222,31,60,11,3,1,11,11,6,14,60,.270,.314,.360,.674
J.D. Martinez,DET,278,43,75,14,0,19,46,2,1,21,81,.270,.327,.525,.852
Kevin Pillar,TOR,282,41,76,14,1,6,35,12,2,13,49,.270,.302,.390,.692
Mookie Betts,BOS,291,37,78,17,4,8,34,12,2,24,36,.268,.323,.436,.759
Russell Martin,TOR,228,45,61,14,2,11,37,4,3,28,54,.268,.354,.491,.845
Brian Dozier,MIN,288,57,77,23,3,15,37,7,3,30,63,.267,.343,.524,.867
George Springer,HOU,267,40,71,14,0,12,27,13,3,40,86,.266,.363,.453,.817
Torii Hunter,MIN,256,37,68,13,0,11,43,1,2,21,45,.266,.324,.445,.769
Johnny Giavotella,LAA,241,26,64,11,1,3,27,1,1,20,40,.266,.320,.357,.676
Albert Pujols,LAA,275,47,73,10,0,23,47,1,2,25,29,.265,.334,.553,.887
Kevin Kiermaier,TB,238,32,63,15,6,4,15,8,1,10,44,.265,.300,.429,.729
Erick Aybar,LAA,277,35,73,10,0,1,22,5,3,15,41,.264,.305,.310,.616
Marcus Semien,OAK,286,34,75,15,3,6,18,7,2,22,66,.262,.314,.399,.713
Kyle Seager,SEA,275,29,72,14,0,12,38,1,3,22,41,.262,.317,.444,.760
Kole Calhoun,LAA,279,28,73,10,1,7,35,4,1,24,62,.262,.320,.380,.700
Ian Kinsler,DET,291,45,76,15,2,2,30,6,2,32,46,.261,.334,.347,.681
Joe Mauer,MIN,273,30,71,14,2,4,37,1,1,30,47,.260,.332,.370,.702
Carlos Beltran,NYY,236,21,61,18,1,7,30,0,0,16,47,.258,.309,.432,.741
Eric Sogard,OAK,231,26,59,7,1,0,19,5,0,13,33,.255,.298,.294,.592
Melky Cabrera,CHW,290,30,74,9,1,2,26,0,0,17,36,.255,.297,.314,.611
Adam Eaton,CHW,278,40,70,11,6,5,14,5,3,22,48,.252,.318,.388,.707
Elvis Andrus,TEX,283,30,71,13,1,3,27,9,4,25,46,.251,.307,.336,.642
Chase Headley,NYY,287,38,72,10,1,8,28,0,1,20,67,.251,.304,.376,.680
Trevor Plouffe,MIN,268,32,67,17,2,10,40,1,0,26,56,.250,.314,.440,.754
Adrian Beltre,TEX,230,28,57,9,2,6,20,1,0,10,27,.248,.280,.383,.663
Billy Butler,OAK,272,29,67,12,0,5,32,0,0,23,48,.246,.309,.346,.655
Mark Teixeira,NYY,244,34,60,15,0,18,53,1,0,39,43,.246,.354,.529,.883
Logan Morrison,SEA,270,27,66,7,2,9,25,5,1,27,46,.244,.318,.385,.703
Edwin Encarnacion,TOR,259,43,63,12,0,16,47,1,0,33,58,.243,.328,.475,.803
Jose Bautista,TOR,235,50,57,13,2,15,50,3,2,57,48,.243,.390,.506,.896
Robinson Cano,SEA,290,30,70,19,0,4,24,1,4,16,53,.241,.281,.348,.629
Omar Infante,KC,241,23,57,16,2,0,23,1,1,3,39,.237,.243,.320,.562
David Freese,LAA,258,28,61,15,0,10,34,1,1,20,64,.236,.301,.411,.712
Brandon Moss,CLE,250,30,59,16,0,12,36,0,0,27,77,.236,.310,.444,.754
Evan Gattis,HOU,277,32,65,12,3,13,47,0,0,12,65,.235,.266,.440,.707
Chris Davis,BAL,261,39,61,14,0,16,45,0,0,36,95,.234,.327,.471,.798
Adam LaRoche,CHW,240,28,56,13,0,9,31,0,0,37,83,.233,.338,.400,.738
Didi Gregorius,NYY,232,23,54,9,0,4,16,3,2,14,39,.233,.283,.323,.606
Brad Miller,SEA,224,22,52,11,3,6,20,6,1,26,55,.232,.313,.388,.702
David Ortiz,BOS,255,25,59,12,0,12,35,0,0,34,45,.231,.318,.420,.738
Asdrubal Cabrera,TB,261,23,59,11,4,5,19,3,3,17,59,.226,.279,.356,.635
Michael Bourn,CLE,208,21,47,8,1,0,14,5,3,22,53,.226,.299,.274,.573
Nick Castellanos,DET,253,13,57,10,4,4,28,0,1,17,68,.225,.274,.344,.618
Shin-Soo Choo,TEX,267,33,60,13,1,8,32,0,0,27,75,.225,.309,.371,.680
Leonys Martin,TEX,239,22,53,10,0,5,23,13,5,12,53,.222,.264,.326,.590
Steven Souza Jr.,TB,253,39,55,9,1,14,31,10,5,31,99,.217,.308,.427,.735
